Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS05 Reject Replacement XLC Online,Chrome 136.0.0.0,,,2025-05-20 07:59:43,2025-05-20 08:01:29,1m - 46.302s,FAILED
,,,,,,,
Test Cases/Reused TC/2. Credential/Login,Chrome 136.0.0.0,,,2025-05-20 07:59:44,2025-05-20 08:00:25,41.247s,PASSED
openBrowser(URL),Chrome 136.0.0.0,,,2025-05-20 07:59:44,2025-05-20 07:59:54,9.813s,PASSED
maximizeWindow(),Chrome 136.0.0.0,,,2025-05-20 07:59:54,2025-05-20 07:59:54,0.131s,PASSED
enableSmartWait(),Chrome 136.0.0.0,,,2025-05-20 07:59:54,2025-05-20 07:59:54,0.020s,PASSED
"click(findTestObject(""Spesific/btn Login""))",Chrome 136.0.0.0,,,2025-05-20 07:59:54,2025-05-20 07:59:55,1.086s,PASSED
"setText(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""loginfmt""]), username)",Chrome 136.0.0.0,,,2025-05-20 07:59:55,2025-05-20 07:59:57,1.981s,PASSED
delay(2),Chrome 136.0.0.0,,,2025-05-20 07:59:57,2025-05-20 07:59:59,2.040s,PASSED
"click(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]))",Chrome 136.0.0.0,,,2025-05-20 07:59:59,2025-05-20 08:00:00,0.447s,PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 136.0.0.0,,,2025-05-20 08:00:00,2025-05-20 08:00:02,2.030s,PASSED
"setEncryptedText(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""passwd""]), encriptPassword)",Chrome 136.0.0.0,,,2025-05-20 08:00:02,2025-05-20 08:00:02,0.575s,PASSED
"delay(1, STOP_ON_FAILURE)",Chrome 136.0.0.0,,,2025-05-20 08:00:02,2025-05-20 08:00:03,1.025s,PASSED
"click(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]))",Chrome 136.0.0.0,,,2025-05-20 08:00:03,2025-05-20 08:00:04,0.951s,PASSED
"if (verifyElementPresent(findTestObject(""General/obj"", [""obj"":""div"", ""attr"":""@id"", ""val"":""idDiv_SAOTCAS_Description""]), 5, OPTIONAL))",Chrome 136.0.0.0,,,2025-05-20 08:00:04,2025-05-20 08:00:16,12.294s,PASSED
"if (verifyElementPresent(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@name"", ""val"":""otc""]), 5, OPTIONAL))",Chrome 136.0.0.0,,,2025-05-20 08:00:16,2025-05-20 08:00:23,6.940s,PASSED
"waitForElementClickable(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]), 5)",Chrome 136.0.0.0,,,2025-05-20 08:00:23,2025-05-20 08:00:24,0.519s,PASSED
"click(findTestObject(""General/obj"", [""obj"":""input"", ""attr"":""@id"", ""val"":""idSIButton9""]))",Chrome 136.0.0.0,,,2025-05-20 08:00:24,2025-05-20 08:00:25,0.790s,PASSED
,,,,,,,
Test Cases/Main TC/XLC Approval/XLCO001 Filter based on TicketID,Chrome 136.0.0.0,,,2025-05-20 08:00:25,2025-05-20 08:00:34,8.764s,PASSED
"click(findTestObject(""Spesific/MenuMain"", [""mainMenu"":""Customer Support""]))",Chrome 136.0.0.0,,,2025-05-20 08:00:26,2025-05-20 08:00:28,2.610s,PASSED
"click(findTestObject(""Spesific/MenuSub"", [""subMenu"":""XL Center Approval""]))",Chrome 136.0.0.0,,,2025-05-20 08:00:28,2025-05-20 08:00:29,0.543s,PASSED
